id	16	c	n	4	y
warm	?	?	?	?	0
warm	?	?	?	?	0
cold	?	?	?	0	1
cold	?	?	?	0	0
cold	?	?	?	1	0
cold	?	?	?	0	0
cold	?	?	?	0	0
cold	?	?	?	0	0
cold	?	?	?	0	0
cold	?	?	?	0	0
cold	?	?	?	0	0
cold	?	?	?	0	0
cold	?	?	?	0	0
cold	?	?	?	0	0
full	?	?	?	0	?
full	?	?	?	0	?
full	?	?	?	0	?
full	?	?	?	0	?
full	?	?	?	1	?
full	?	?	?	0	?
full	?	?	?	0	?
full	?	?	?	0	?
full	?	?	?	0	?
full	?	?	?	0	?
full	?	?	?	0	?
good	1	?	1	0	1
good	0	?	0	0	0
good	0	?	0	0	0
good	0	?	0	0	0
good	0	?	0	1	0
good	0	?	0	0	0
good	0	?	0	0	0
good	0	?	0	0	0
good	0	?	0	0	0
good	0	?	0	0	0
good	0	?	0	0	0
good	0	?	0	0	0
good	0	?	0	0	0
new	?	?	?	0	?
new	?	?	?	0	?
new	?	?	?	0	?
new	?	?	?	1	?
new	?	?	?	0	?
new	?	?	?	0	?
new	?	?	?	0	?
new	?	?	?	0	?
new	?	?	?	0	?
new	?	?	?	0	?
new	?	?	?	0	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
round	?	?	?	?	?
dry	?	?	?	0	1
dry	?	?	?	0	0
dry	?	?	?	0	0
dry	?	?	?	0	0
dry	?	?	?	1	0
dry	?	?	?	0	0
dry	?	?	?	0	0
dry	?	?	?	0	0
dry	?	?	?	0	0
dry	?	?	?	0	0
dry	?	?	?	0	0
name	1	?	0	?	1
name	0	?	0	?	0
name	0	?	0	?	0
name	0	?	0	?	0
name	0	?	0	?	0
name	0	?	1	?	0
name	0	?	0	?	0
name	0	?	0	?	0
name	0	?	0	?	0
name	0	?	0	?	0
name	0	?	0	?	0
name	0	0	0	?	0
